
NOTICE: Existing SQLite export found: profiles/small_forward_smoke.sqlite
        It is assumed file was previously exported from: profiles/small_forward_smoke.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/small_forward_smoke.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     70.2        165324184       1275  129666.0   62499.0     59076    599649      88219.5  void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_tn_align1>(T1::Params)                      
      3.9          9252290        180   51401.6   50787.0     49922     56291       1599.9  void magma_sgemmEx_kernel<float, float, float, (bool)1, (bool)0, (int)6, (int)4, (int)6, (int)3, (i…
      3.4          7956376        180   44202.1   44099.0     42914     46626        552.8  void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_nn_align1>(T1::Params)                        
      2.7          6246814        555   11255.5    4065.0      4000     29538      10402.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.3          5438101       1827    2976.5    2624.0       960      4896        756.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.0          4824880        180   26804.9   26673.0     25025     29282        910.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.0          4656993        180   25872.2   25858.0     24417     27330        442.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.9          4497651       1080    4164.5    3104.0      2912      9217       1919.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.8          4218661        360   11718.5   11713.0     11328     12480        186.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      1.7          3997723        180   22209.6   21969.0     17441     26689       2055.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
      1.6          3674150        192   19136.2   20417.0       864     22497       4785.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      1.4          3290523       1080    3046.8    1984.0      1920      6305       1520.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      1.0          2392934        180   13294.1   13232.5     12865     15873        279.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
      0.8          1892069        180   10511.5   10465.0      9857     11137        180.2  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
